fingerprint,minutia,dA0,dA1,dA2,dA3,dA4,dA5,dA6,dA7,dR0,dR1,dR2,dR3,dR4,dR5,dR6,dR7,rA30,rA60,rA90,rR30,rR60,rR90,B1,B2,B3,B4,B5,B6,B7,B8,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,score_change
B101X9I_1_1,v0,25.059928172283335,39.81205847478876,43.32435804486894,48.82622246293481,49.24428900898052,56.88585061331157,57.48912940721924,58.42088667591412,0.20113053315745988,0.3195308658540595,0.3477205190838028,0.3918783840289049,0.3952337786143719,0.4565648147238277,0.46140671948217576,0.46888498657606204,1,8,8,1,7,0,325.0,347.0,128.0,349.0,170.0,93.0,68.0,328.0,339.3895403340348,39.607502246248885,274.722277764447,241.6075022462489,242.1468412355809,346.9143832200251,87.00797980144131,27.914383220025123,45.90740867126584,44.415839524407005,146.12467165539783,147.41583952440703,187.93068210371786,197.98721249581666,287.88172363063694,277.98721249581666,-0.259037
B101X9I_1_1,v1,32.55764119219941,39.81205847478876,39.824615503479755,45.79301256742124,67.72001181334805,83.00602387778854,85.16454661418682,86.28441342444185,0.3221003790804631,0.3938700304177884,0.3939942600472513,0.4530410117897846,0.6699699572105059,0.8211980591334572,0.8425528307381724,0.8536319357007641,0,4,8,0,4,4,341.0,13.0,183.0,338.0,1.0,141.0,344.0,106.0,328.4895529219992,287.88172363063694,107.72227776444703,139.88172363063694,354.1155035662854,32.181544538311385,39.607502246248885,7.181544538311385,284.7059525434011,281.6021875514418,239.0704122498247,241.60218755144177,268.3318395782475,247.13010235415598,168.21654605857566,189.130102354156,-0.131319
B101X9I_1_1,v2,17.46424919657298,60.81118318204309,67.72001181334805,90.79647570252934,106.23088063270491,107.2240644631605,144.1700384962146,150.23315213360866,0.10380501608167429,0.3614530334001608,0.4025181292485912,0.539681352136793,0.6314212622786125,0.6373246058653916,0.8569262266099513,0.8929645126851531,1,1,3,1,0,2,343.0,340.0,359.0,182.0,337.0,12.0,105.0,296.0,270.7594800848128,245.92721812600917,56.0,62.927218126009166,103.70595254340111,351.1155035662854,310.59464336859145,354.1155035662854,64.90830006131756,339.3895403340348,113.38212059188174,194.3895403340348,186.34708160029936,286.25511870305775,8.221802292838447,297.2551187030578,0.116631
B101X9I_1_1,v3,14.035668847618199,15.033296378372908,21.93171219946131,32.55764119219941,41.036569057366385,48.82622246293481,52.3450093132096,64.53681120105021,0.0815972097379255,0.08739697772555045,0.12750133532503133,0.18927581619188996,0.23856857615068425,0.2838541973505442,0.3043108775246173,0.37518865517282557,3,7,8,3,4,1,139.0,88.0,79.0,67.0,104.0,11.0,336.0,295.0,346.9143832200251,38.12109639666144,213.81407483429035,167.12109639666147,244.1523897340054,77.30993247402021,236.48955292199915,245.30993247402023,89.02506598911802,146.12467165539783,278.00797980144137,233.12467165539783,271.418055344822,198.30484646876602,286.3987053549955,337.304846468766,0.312306
B101X9I_1_1,v4,17.46424919657298,76.21679604916491,85.16454661418682,107.29864864013899,122.80065146407001,124.59534501738017,160.0,164.7573974060042,0.09413629567804313,0.41082595465513666,0.4590563757491947,0.5783642457543867,0.6619235848940154,0.6715973934319189,0.8624365776596047,0.8880800372683606,1,1,3,1,0,2,17.0,357.0,16.0,199.0,354.0,29.0,122.0,313.0,107.75948008481282,256.0,62.927218126009166,56.0,104.33183957824752,351.1155035662854,307.27584111262894,354.1155035662854,67.67639313745002,339.3895403340348,114.27421215472742,194.3895403340348,189.130102354156,286.25511870305775,11.754096876729307,297.2551187030578,0.239855
B101X9I_1_1,v5,25.059928172283335,40.496913462633174,45.79301256742124,48.38388161361178,52.3450093132096,53.600373133029585,55.90169943749474,67.1863081289633,0.20406999371347445,0.32977767609386077,0.3729052901711985,0.39400346037877754,0.42626002947977126,0.43648280765605224,0.45522315045576855,0.5471168705372969,1,7,8,1,6,1,35.0,128.0,22.0,3.0,24.0,163.0,319.0,112.0,194.3895403340348,233.12467165539783,168.9052429229879,146.12467165539783,241.6075022462489,167.48955292199915,262.9395280638008,328.4895529219992,115.418055344822,27.914383220025123,269.58362148011395,346.9143832200251,337.304846468766,278.25701170431284,205.73210669970922,251.25701170431287,-0.234623
B101X9I_1_1,v6,32.55764119219941,48.38388161361178,58.42088667591412,60.81118318204309,72.34638899074369,76.21679604916491,83.81527307120105,89.64373932405988,0.2712289308002498,0.4030730727866733,0.486688655851002,0.5066015715879156,0.6026982611356924,0.6349415788263132,0.6982424422466924,0.7467978231674391,0,3,8,0,3,5,19.0,357.0,32.0,20.0,202.0,3.0,125.0,316.0,167.48955292199915,241.6075022462489,79.93952806380082,39.607502246248885,139.88172363063694,113.38212059188174,256.0,281.38212059188174,352.4846060095447,307.27584111262894,245.92721812600917,288.27584111262894,190.22392228210538,286.25511870305775,5.6598082540900805,297.2551187030578,-0.180725
B101X9I_1_1,v7,24.186773244895647,55.90169943749474,64.53681120105021,75.82216034906945,76.27581530209953,77.02596964660685,86.37129152675674,89.64373932405988,0.14680235076360956,0.3392970532287465,0.39170812489842305,0.4602048924226712,0.4629583648625894,0.46751144931474753,0.5242331627387623,0.5440953834877281,1,2,8,1,1,6,169.0,41.0,65.0,153.0,204.0,76.0,144.0,44.0,286.25511870305775,168.9052429229879,198.30484646876602,220.90524292298792,171.3987053549955,305.81407483429035,251.25701170431287,213.81407483429035,316.68491240000276,242.1468412355809,221.51213247117224,294.1468412355809,248.81555668421123,197.98721249581666,229.6598082540901,277.98721249581666,0.015347
B101X9I_1_1,v8,39.824615503479755,49.24428900898052,70.00714249274856,72.34638899074369,80.91971329657564,89.62700485902673,90.60905032059435,90.79647570252934,0.3177743177160053,0.3929371355731291,0.5586110916484932,0.577276744799746,0.6456862510159641,0.7151647280943041,0.7230008069257113,0.7244963385740169,0,2,6,0,2,4,177.0,190.0,155.0,158.0,318.0,246.0,258.0,178.0,351.1155035662854,274.722277764447,55.90740867126584,107.72227776444703,7.181544538311385,79.93952806380082,330.4846060095446,262.9395280638008,210.98688624496418,106.4633450618716,153.5366357584594,214.46334506187162,158.68377515946895,183.6667572922844,308.59464336859145,283.6667572922844,-0.276647
B101X9I_1_1,v9,14.035668847618199,15.033296378372908,19.1049731745428,23.259406699226016,43.32435804486894,52.20153254455275,53.600373133029585,76.27581530209953,0.08358563784394285,0.08952673936137859,0.11377451164762738,0.13851511929596425,0.25800652186049877,0.3108721388014379,0.3192025564038505,0.4542400325421382,4,7,8,4,3,1,221.0,300.0,309.0,288.0,232.0,325.0,197.0,156.0,27.914383220025123,345.1523897340054,204.81407483429035,244.1523897340054,167.12109639666147,103.07248693585296,214.46334506187162,262.07248693585296,294.1468412355809,233.12467165539783,99.56914187983764,146.12467165539783,286.58362148011395,198.30484646876602,292.6849124000027,337.304846468766,0.268457
B101X9I_1_1,v10,24.186773244895647,40.496913462633174,41.036569057366385,52.20153254455275,53.53503525729669,56.88585061331157,62.96824596572466,73.53910524340094,0.1511673327805978,0.25310570914145736,0.2564785566085399,0.32625957840345465,0.33459397035810434,0.3555365663331973,0.39355153728577913,0.4596194077712559,1,6,8,1,5,2,191.0,232.0,256.0,35.0,344.0,267.0,335.0,323.0,297.2551187030578,337.304846468766,220.90524292298792,198.30484646876602,165.02506598911802,27.914383220025123,314.5691418798376,346.9143832200251,242.79953127261925,183.8531587644191,233.12467165539783,286.8531587644191,244.06941255883302,77.30993247402021,234.0,245.30993247402023,-0.236794
B101X9I_1_1,v11,14.035668847618199,15.033296378372908,19.1049731745428,24.041630560342615,53.53503525729669,61.26989472816156,67.1863081289633,75.82216034906945,0.07565546378814604,0.08103290424691538,0.10298017300582028,0.1295898848863653,0.2885660787011827,0.33025873951824947,0.36214956030204243,0.4086987780138077,4,5,8,4,1,3,351.0,272.0,51.0,339.0,16.0,283.0,248.0,207.0,286.9143832200251,244.1523897340054,305.81407483429035,345.1523897340054,38.12109639666144,106.4633450618716,262.07248693585296,214.46334506187162,78.79953127261922,146.12467165539783,286.8531587644191,233.12467165539783,273.7321066997092,198.30484646876602,278.25701170431284,337.304846468766,-0.072112
B101X9I_1_1,v12,10.816653826391969,14.035668847618199,15.033296378372908,21.93171219946131,57.48912940721924,62.96824596572466,68.59300255857006,86.37129152675674,0.05946718234481464,0.07716449949209087,0.08264919921862232,0.1205749161831501,0.31606045604993793,0.34618323049596267,0.37710669641439715,0.4748471592986211,4,5,8,4,1,3,348.0,9.0,60.0,281.0,292.0,25.0,257.0,216.0,245.30993247402023,262.07248693585296,115.91438322002513,103.07248693585296,84.81407483429035,346.9143832200251,345.1523897340054,27.914383220025123,299.9306821037178,233.12467165539783,89.06941255883301,146.12467165539783,285.5394451395093,198.30484646876602,284.81555668421123,337.304846468766,0.07924
B101X9I_1_1,v13,10.816653826391969,23.259406699226016,24.041630560342615,32.55764119219941,62.12889826803627,73.53910524340094,76.15773105863909,89.62700485902673,0.05837381544764847,0.1255231364407369,0.129744533560441,0.17570255726656148,0.33528861140172106,0.3968656320672313,0.41099746826339323,0.48368657486300226,3,4,8,3,1,4,12.0,72.0,21.0,293.0,304.0,37.0,269.0,114.0,77.30993247402021,204.81407483429035,106.4633450618716,84.81407483429035,103.07248693585296,213.81407483429035,349.4895529219992,305.81407483429035,309.3086140135487,233.12467165539783,91.0,146.12467165539783,291.6713071321958,7.181544538311385,87.53663575845941,32.181544538311385,0.03908
B102X0I_1_1,v0,12.165525060596439,48.05205510693585,54.230987451824994,73.06161783043132,74.73285756613352,87.41853350405736,94.19129471453293,95.35197952848173,0.09005325669344717,0.3556972700839936,0.40143577933650465,0.5408263590885076,0.553197430634194,0.647101016864753,0.6972352445920744,0.7058270190506437,1,3,6,1,2,3,343.0,353.0,336.0,324.0,313.0,110.0,335.0,139.0,250.53767779197437,194.17910714668918,12.011478386365468,24.179107146689205,337.7099187946287,88.70863782901577,300.57421619803876,256.70863782901574,254.50740523012973,310.5376777919744,332.690059825014,287.5376777919744,338.3477772196937,30.44738685186519,65.65989307844234,14.44738685186519,-0.602833
